proteins	genes	gene_name	kcat	rxns	notes	stoicho
P15454	YDR454C	YDR454C	90.0	r_0330	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.4.8)	1
P47180	YJR153W	YJR153W	6.08	r_0365	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=3.2.1.15)	1
Q12051	YPL069C	YPL069C	3.3	r_0373	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.5.1.-)	1
P00045	YEL039C	YEL039C	2000.0	r_0437	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.11.1.5)	1
P32771	YDL168W	YDL168W	1.28	r_0443	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.1.1.-)	1
P08019	YIL099W	YIL099W	328.0	r_0464	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=3.2.1.3)	1
P53823	YNL334C	YNL334C	6249.0	r_0475	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=3.5.1.2)	1
P14742	YKL104C	YKL104C	35.5	r_0477	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.6.1.16)	1
Q02784	YPL059W	YPL059W	900.0	r_0482	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=1.8.1.7)	1
P32190	YHL032C	YHL032C	1670.0	r_0488	BRENDA+phyldist (tier=2, wc=0, phyl_d=0, ec=2.7.1.30)	1
P38088	YBR121C	YBR121C	24.4	r_0512	BRENDA+phyldist (tier=2, wc=0, phyl_d=2, ec=2.7.7.-)	1
P15454	YDR454C	YDR454C	394.0	r_0528	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.4.8)	1
P15454	YDR454C	YDR454C	394.0	r_0529	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.7.4.8)	1
P21592	YPL172C	YPL172C	3.3	r_0531	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.5.1.-)	1
P07263	YPR033C	YPR033C	40.0	r_0539	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.21)	1
P07263	YPR033C	YPR033C	40.0	r_0540	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=6.1.1.21)	1
P38074	YBR034C	YBR034C	7.0	r_0541	BRENDA+phyldist (tier=1, wc=0, phyl_d=0, ec=2.1.1.-)	1
